iter	Accuracy	Logloss
0	0.5131261111	0.6931160907
1	0.5139797222	0.6930865739
2	0.5143355556	0.6930577215
3	0.5143536111	0.6930294981
4	0.5148116667	0.6930023372
5	0.5147027778	0.6929771334
6	0.5147794444	0.6929537455
7	0.5148905556	0.6929317739
8	0.5147291667	0.692910012
9	0.5148116667	0.6928875096
10	0.5147452778	0.69286868
11	0.5149086111	0.6928490813
12	0.5149594444	0.6928293455
13	0.5149955556	0.6928116174
14	0.5149630556	0.6927973455
15	0.5150472222	0.6927823597
16	0.5150416667	0.6927680281
17	0.5149986111	0.6927545188
18	0.5150047222	0.6927407567
19	0.5150183333	0.6927277616
20	0.5150977778	0.6927142816
21	0.5150861111	0.6927013587
22	0.5150944444	0.6926888261
23	0.5150902778	0.6926774722
24	0.5151175	0.6926674596
25	0.5150538889	0.6926563933
26	0.5150922222	0.6926478083
27	0.5150922222	0.6926389547
28	0.5150977778	0.6926311961
29	0.5151455556	0.6926227546
30	0.5151933333	0.6926149834
31	0.5151622222	0.692607636
32	0.5151794444	0.6926000652
33	0.5151955556	0.6925936414
34	0.5151766667	0.6925862022
35	0.5151716667	0.6925793283
36	0.5152058333	0.692572814
37	0.5152686111	0.6925671207
38	0.5152877778	0.6925615765
39	0.5152769444	0.6925568311
40	0.5152966667	0.6925521161
41	0.5153436111	0.6925465088
42	0.5153619444	0.6925420837
43	0.5154	0.692537085
44	0.5153513889	0.6925317057
45	0.5153541667	0.6925278915
46	0.5152925	0.6925238122
47	0.5153305556	0.6925198262
48	0.5153155556	0.6925149562
49	0.5153222222	0.6925113737
50	0.5153208333	0.6925077308
51	0.5153127778	0.6925042188
52	0.5153016667	0.6925005315
53	0.5153144444	0.692497183
54	0.5153275	0.6924943883
55	0.5153213889	0.6924913735
56	0.5153383333	0.6924887465
57	0.5153644444	0.6924849602
58	0.5153805556	0.6924815792
59	0.5153647222	0.6924782824
60	0.5153852778	0.6924757141
61	0.5154075	0.6924724431
62	0.5154272222	0.6924701681
63	0.5154163889	0.6924680787
64	0.5154705556	0.6924653689
65	0.5154327778	0.6924625478
66	0.5154522222	0.6924601723
67	0.5154772222	0.6924576048
68	0.5154925	0.6924552642
69	0.5155130556	0.6924529535
70	0.5155019444	0.6924504477
71	0.5154919444	0.6924486847
72	0.5155233333	0.6924464496
73	0.5155177778	0.6924439652
74	0.5155202778	0.6924417476
75	0.5155497222	0.6924397003
76	0.5155461111	0.6924375025
77	0.5155208333	0.6924354944
78	0.5155263889	0.6924336501
79	0.5155502778	0.6924315938
80	0.5155586111	0.692429253
81	0.5155680556	0.692427546
82	0.5155816667	0.6924256016
83	0.5155602778	0.6924235684
84	0.5155772222	0.6924218473
85	0.5155686111	0.6924200058
86	0.5155791667	0.6924182141
87	0.5156094444	0.6924161876
88	0.5155975	0.6924143995
89	0.5155991667	0.6924126366
