iter	Passed	Remaining
0	267	535083
1	480	479600
2	747	497586
3	978	488201
4	1185	473059
5	1398	464696
6	1606	457339
7	1811	451025
8	2020	447050
9	2209	439661
10	2403	434545
11	2587	428692
12	2781	425108
13	2969	421288
14	3183	421295
15	3383	419495
16	3585	418252
17	3814	419990
18	4007	417824
19	4201	415925
20	4436	418126
21	4620	415411
22	4807	413212
23	4982	410253
24	5163	407880
25	5360	407000
26	5565	406688
27	5759	405652
28	5946	404163
29	6134	402824
30	6318	401349
31	6533	401812
32	6719	400504
33	6913	399753
34	7096	398425
35	7291	397786
36	7467	396168
37	7655	395264
38	7841	394278
39	8034	393681
40	8239	393696
41	8436	393319
42	8630	392775
43	8816	391923
44	8998	390931
45	9202	390927
46	9413	391172
47	9604	390601
48	9814	390791
49	10024	390941
50	10231	391014
51	10418	390285
52	10653	391372
53	10903	392934
54	11144	394111
55	11379	395036
56	11602	395505
57	11889	398104
58	12139	399371
59	12344	399128
60	12580	399909
61	12784	399614
62	12981	399124
63	13189	398985
64	13424	399628
65	13631	399451
66	13956	402659
67	14162	402392
68	14361	401919
69	14557	401378
70	14751	400786
71	14940	400073
72	15132	399462
73	15344	399365
74	15546	399036
75	15750	398737
76	15948	398306
77	16170	398460
78	16373	398136
79	16570	397700
80	16773	397395
81	16977	397115
82	17216	397632
83	17410	397125
84	17604	396628
85	17785	395835
86	17999	395777
87	18204	395544
88	18428	395688
89	18635	395493
90	18857	395588
91	19054	395173
92	19279	395329
93	19500	395402
94	19763	396316
95	19980	396278
96	20183	395966
97	20413	396193
98	20663	396775
99	20883	396793
100	21072	396202
101	21335	397004
102	21579	397434
103	21849	398338
104	22056	398068
105	22281	398132
106	22491	397909
107	22717	397976
108	22946	398091
109	23151	397791
110	23365	397632
111	23576	397436
112	23782	397149
113	23999	397037
114	24195	396589
115	24401	396318
116	24603	395972
117	24812	395743
118	25010	395341
119	25218	395084
120	25421	394769
121	25646	394781
122	25856	394572
123	26058	394235
124	26263	393950
125	26486	393927
126	26682	393520
127	26890	393271
128	27100	393056
129	27299	392694
130	27506	392438
131	27714	392198
132	27940	392211
133	28158	392123
134	28403	392393
135	28614	392184
136	28843	392227
137	29060	392102
138	29282	392054
139	29483	391706
140	29936	394695
141	30212	395318
142	30474	395745
143	30754	396387
144	31097	397831
